id	definition	parents
MESH:D000051	Separation of the prickle cells of the stratum spinosum of the epidermis, resulting in atrophy of the prickle cell layer. It is seen in diseases such as pemphigus vulgaris (see PEMPHIGUS) and DARIER DISEASE.	
MESH:D000052	A circumscribed melanosis consisting of a brown-pigmented, velvety verrucosity or fine papillomatosis appearing in the axillae and other body folds. It occurs in association with endocrine disorders, underlying malignancy, administration of certain drugs, or as in inherited disorder.	
MESH:D000126	A lack of HYDROCHLORIC ACID in GASTRIC JUICE despite stimulation of gastric secretion.	
MESH:D000130	An autosomal dominant disorder that is the most frequent form of short-limb dwarfism. Affected individuals exhibit short stature caused by rhizomelic shortening of the limbs, characteristic facies with frontal bossing and mid-face hypoplasia, exaggerated lumbar lordosis, limitation of elbow extension, GENU VARUM, and trident hand. (Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/Omim, MIM#100800, April 20, 2001)	
MESH:D000137	Disturbances in the ACID-BASE EQUILIBRIUM of the body.	
MESH:D000138	A pathologic condition of acid accumulation or depletion of base in the body. The two main types are RESPIRATORY ACIDOSIS and metabolic acidosis, due to metabolic acid build up.	
MESH:D000140	Acidosis caused by accumulation of lactic acid more rapidly than it can be metabolized. It may occur spontaneously or in association with diseases such as DIABETES MELLITUS; LEUKEMIA; or LIVER FAILURE.	
MESH:D000141	A group of genetic disorders of the KIDNEY TUBULES characterized by the accumulation of metabolically produced acids with elevated plasma chloride, hyperchloremic metabolic ACIDOSIS. Defective renal acidification of URINE (proximal tubules) or low renal acid excretion (distal tubules) can lead to complications such as HYPOKALEMIA, hypercalcinuria with NEPHROLITHIASIS and NEPHROCALCINOSIS, and RICKETS.	
MESH:D000142	Respiratory retention of carbon dioxide. It may be chronic or acute.	
MESH:D000151	Infections with bacteria of the genus ACINETOBACTER.	
MESH:D000152	A chronic disorder of the pilosebaceous apparatus associated with an increase in sebum secretion. It is characterized by open comedones (blackheads), closed comedones (whiteheads), and pustular nodules. The cause is unknown, but heredity and age are predisposing factors.	
MESH:D000153	A type of acneiform disorder in which secondary pyogenic infection in and around pilosebaceous structures ends in keloidal scarring. It manifests as persistent folliculitis of the back of the neck associated with occlusion of the follicular orifices. It is most often encountered in black or Asian men.	
MESH:D000160	Pathological processes of the VESTIBULOCOCHLEAR NERVE, including the branches of COCHLEAR NERVE and VESTIBULAR NERVE. Common examples are VESTIBULAR NEURITIS, cochlear neuritis, and ACOUSTIC NEUROMA. Clinical signs are varying degree of HEARING LOSS; VERTIGO; and TINNITUS.	
MESH:D000163	An acquired defect of cellular immunity associated with infection by the human immunodeficiency virus (HIV), a CD4-positive T-lymphocyte count under 200 cells/microliter or less than 14% of total lymphocytes, and increased susceptibility to opportunistic infections and malignant neoplasms. Clinical manifestations also include emaciation (wasting) and dementia. These elements reflect criteria for AIDS as defined by the CDC in 1993.	
MESH:D000168	Congenital craniostenosis with syndactyly.	
MESH:D000169	Inflammation involving the skin of the extremities, especially the hands and feet. Several forms are known, some idiopathic and some hereditary. The infantile form is called Gianotti-Crosti syndrome.	
MESH:D000170	A condition seen primarily in childhood, most often resulting from chronic exposure to MERCURY COMPOUNDS which may result in encephalopathy and POLYNEUROPATHY. Clinical features include pain, swelling and pinkish discoloration of the fingers and toes, weakness in the extremities, extreme irritability, HYPERESTHESIA, and alterations in level of consciousness. (From Menkes, Textbook of Child Neurology, 5th ed, p603)	
MESH:D000172	A condition caused by prolonged exposure to excessive HUMAN GROWTH HORMONE in adults. It is characterized by bony enlargement of the FACE; lower jaw (PROGNATHISM); hands; FEET; HEAD; and THORAX. The most common etiology is a GROWTH HORMONE-SECRETING PITUITARY ADENOMA. (From Joynt, Clinical Neurology, 1992, Ch36, pp79-80)	
MESH:D000182	Symptom complex due to ACTH production by non-pituitary neoplasms.	
MESH:D000187	A disease characterized by suppurative and granulomatous lesions in the respiratory tract, upper alimentary tract, skin, kidneys, joints, and other tissues. Actinobacillus lignieresii infects cattle and sheep while A. equuli infects horses and pigs.	
MESH:D000189	Infections with bacteria of the genus ACTINOBACILLUS.	
MESH:D000193	Infections with bacteria of the order ACTINOMYCETALES.	
MESH:D000196	Infections with bacteria of the genus ACTINOMYCES.	
MESH:D000197	A form of ACTINOMYCOSIS characterized by slow-growing inflammatory lesions of the lymph nodes that drain the mouth (lumpy jaw), reddening of the overlying skin, and intraperitoneal abscesses.	
MESH:D000208	Disease having a short and relatively severe course.	
MESH:D000210	An early local inflammatory reaction to insult or injury that consists of fever, an increase in inflammatory humoral factors, and an increased synthesis by hepatocytes of a number of proteins or glycoproteins usually found in the plasma.	
MESH:D000219	A condition of fainting spells caused by heart block, often an atrioventricular block, that leads to BRADYCARDIA and drop in CARDIAC OUTPUT. When the cardiac output becomes too low, the patient faints (SYNCOPE). In some cases, the syncope attacks are transient and in others cases repetitive and persistent.	
MESH:D000224	An adrenal disease characterized by the progressive destruction of the ADRENAL CORTEX, resulting in insufficient production of ALDOSTERONE and HYDROCORTISONE. Clinical symptoms include ANOREXIA; NAUSEA; WEIGHT LOSS; MUSCLE WEAKNESS; and HYPERPIGMENTATION of the SKIN due to increase in circulating levels of ACTH precursor hormone which stimulates MELANOCYTES.	
MESH:D000230	A malignant epithelial tumor with a glandular organization.	
MESH:D000231	An adenocarcinoma containing finger-like processes of vascular connective tissue covered by neoplastic epithelium, projecting into cysts or the cavity of glands or follicles. It occurs most frequently in the ovary and thyroid gland. (Stedman, 25th ed)	
MESH:D000232	A benign neoplasm composed of glandular and fibrous tissues, with a relatively large proportion of glands. (Stedman, 25th ed)	
MESH:D000235	A benign tumor characterized histologically by tall columnar epithelium within a lymphoid tissue stroma. It is usually found in the salivary glands, especially the parotid.	
MESH:D000236	A benign epithelial tumor with a glandular organization.	
MESH:D000237	A small tumor of the anterior lobe of the pituitary gland whose cells stain with basic dyes. It may give rise to excessive secretion of ACTH, resulting in CUSHING SYNDROME. (Dorland, 27th ed)	
MESH:D000238	A benign tumor of the anterior pituitary in which the cells do not stain with acidic or basic dyes.	
MESH:D000239	A benign tumor, usually found in the anterior lobe of the pituitary gland, whose cells stain with acid dyes. Such pituitary tumors may give rise to excessive secretion of growth hormone, resulting in gigantism or acromegaly. A specific type of acidophil adenoma may give rise to nonpuerperal galactorrhea. (Dorland, 27th ed)	
MESH:D000257	Virus diseases caused by the ADENOVIRIDAE.	
MESH:D000258	Respiratory and conjunctival infections caused by 33 identified serotypes of human adenoviruses.	
MESH:D000267	Pathological processes consisting of the union of the opposing surfaces of a wound.	
MESH:D000270	A syndrome characterized by a TONIC PUPIL that occurs in combination with decreased lower extremity reflexes. The affected pupil will respond more briskly to accommodation than to light (light-near dissociation) and is supersensitive to dilute pilocarpine eye drops, which induce pupillary constriction. Pathologic features include degeneration of the ciliary ganglion and postganglionic parasympathetic fibers that innervate the pupillary constrictor muscle. (From Adams et al., Principles of Neurology, 6th ed, p279)	
MESH:D000274	A rare disease characterized by multiple tumor-like fatty deposits that press on nerves in various sites causing pain and weakness. Often these lipoma-like structures are located on the trunk and limbs but not on the face and hands.	
MESH:D000275	Maladaptive reactions to identifiable psychosocial stressors occurring within a short time after onset of the stressor. They are manifested by either impairment in social or occupational functioning or by symptoms (depression, anxiety, etc.) that are in excess of a normal and expected reaction to the stressor.	
MESH:D000291	Diseases of the uterine appendages (ADNEXA UTERI) including diseases involving the OVARY, the FALLOPIAN TUBES, and ligaments of the uterus (BROAD LIGAMENT; ROUND LIGAMENT).	
MESH:D000292	A spectrum of inflammation involving the female upper genital tract and the supporting tissues. It is usually caused by an ascending infection of organisms from the endocervix. Infection may be confined to the uterus (ENDOMETRITIS), the FALLOPIAN TUBES; (SALPINGITIS); the ovaries (OOPHORITIS), the supporting ligaments (PARAMETRITIS), or may involve several of the above uterine appendages. Such inflammation can lead to functional impairment and infertility.	
MESH:D000303	Pathological processes of the ADRENAL CORTEX.	
MESH:D000306	Tumors or cancers of the ADRENAL CORTEX.	
MESH:D000307	Pathological processes of the ADRENAL GLANDS.	
MESH:D000308	Excess production of ADRENAL CORTEX HORMONES such as ALDOSTERONE; HYDROCORTISONE; DEHYDROEPIANDROSTERONE; and/or ANDROSTENEDIONE. Hyperadrenal syndromes include CUSHING SYNDROME; HYPERALDOSTERONISM; and VIRILISM.	
MESH:D000309	Conditions in which the production of adrenal CORTICOSTEROIDS falls below the requirement of the body. Adrenal insufficiency can be caused by defects in the ADRENAL GLANDS, the PITUITARY GLAND, or the HYPOTHALAMUS.	
MESH:D000310	Tumors or cancer of the ADRENAL GLANDS.	
MESH:D000312	A group of inherited disorders of the ADRENAL GLANDS, caused by enzyme defects in the synthesis of cortisol (HYDROCORTISONE) and/or ALDOSTERONE leading to accumulation of precursors for ANDROGENS. Depending on the hormone imbalance, congenital adrenal hyperplasia can be classified as salt-wasting, hypertensive, virilizing, or feminizing. Defects in STEROID 21-HYDROXYLASE; STEROID 11-BETA-HYDROXYLASE; STEROID 17-ALPHA-HYDROXYLASE; 3-beta-hydroxysteroid dehydrogenase (3-HYDROXYSTEROID DEHYDROGENASES); TESTOSTERONE 5-ALPHA-REDUCTASE; or steroidogenic acute regulatory protein; among others, underlie these disorders.	
MESH:D000314	Neoplasm derived from displaced cells (rest cells) of the primordial ADRENAL GLANDS, generally in patients with CONGENITAL ADRENAL HYPERPLASIA. Adrenal rest tumors have been identified in TESTES; LIVER; and other tissues. They are dependent on ADRENOCORTICOTROPIN for growth and adrenal steroid secretion.	
MESH:D000326	An X-linked recessive disorder characterized by the accumulation of saturated very long chain fatty acids in the LYSOSOMES of ADRENAL CORTEX and the white matter of CENTRAL NERVOUS SYSTEM. This disease occurs almost exclusively in the males. Clinical features include the childhood onset of ATAXIA; NEUROBEHAVIORAL MANIFESTATIONS; HYPERPIGMENTATION; ADRENAL INSUFFICIENCY; SEIZURES; MUSCLE SPASTICITY; and DEMENTIA. The slowly progressive adult form is called adrenomyeloneuropathy. The defective gene ABCD1 is located at Xq28, and encodes the adrenoleukodystrophy protein (ATP-BINDING CASSETTE TRANSPORTERS).	
MESH:D000334	Spasmodic swallowing of air.	
MESH:D000341	Disorders in which the essential feature is a severe disturbance in mood (depression, anxiety, elation, and excitement) accompanied by psychotic symptoms such as delusions, hallucinations, gross impairment in reality testing, etc.	
MESH:D000343	A complication of gastrojejunostomy (BILLROTH II PROCEDURE), a reconstructive GASTROENTEROSTOMY. It is caused by acute (complete) or chronic (intermittent) obstruction of the afferent jejunal loop due to HERNIA, intussusception, kinking, VOLVULUS, etc. It is characterized by PAIN and VOMITING of BILE-stained fluid.	
MESH:D000347	A deficiency or absence of FIBRINOGEN in the blood.	
MESH:D000355	An insect-borne reovirus infection of horses, mules and donkeys in Africa and the Middle East; characterized by pulmonary edema, cardiac involvement, and edema of the head and neck.	
MESH:D000357	A sometimes fatal ASFIVIRUS infection of pigs, characterized by fever, cough, diarrhea, hemorrhagic lymph nodes, and edema of the gallbladder. It is transmitted between domestic swine by direct contact, ingestion of infected meat, or fomites, or mechanically by biting flies or soft ticks (genus Ornithodoros).	
MESH:D000361	An immunologic deficiency state characterized by an extremely low level of generally all classes of gamma-globulin in the blood.	
MESH:D000370	Complete or severe loss of the subjective sense of taste, frequently accompanied by OLFACTION DISORDERS.	
MESH:D000377	Loss of the ability to comprehend the meaning or recognize the importance of various forms of stimulation that cannot be attributed to impairment of a primary sensory modality. Tactile agnosia is characterized by an inability to perceive the shape and nature of an object by touch alone, despite unimpaired sensation to light touch, position, and other primary sensory modalities.	
MESH:D000379	Obsessive, persistent, intense fear of places or situations from which escape might be difficult or embarrassing.	
MESH:D000380	A decrease in the number of GRANULOCYTES; (BASOPHILS; EOSINOPHILS; and NEUTROPHILS).	
MESH:D000381	Loss or impairment of the ability to write (letters, syllables, words, or phrases) due to an injury to a specific cerebral area or occasionally due to emotional factors. This condition rarely occurs in isolation, and often accompanies APHASIA. (From Adams et al., Principles of Neurology, 6th ed, p485; APA, Thesaurus of Psychological Index Terms, 1994)	
MESH:D000382	Diseases in persons engaged in cultivating and tilling soil, growing plants, harvesting crops, raising livestock, or otherwise engaged in husbandry and farming. The diseases are not restricted to farmers in the sense of those who perform conventional farm chores: the heading applies also to those engaged in the individual activities named above, as in those only gathering harvest or in those only dusting crops.	
MESH:D000386	A prodromal phase of infection with the human immunodeficiency virus (HIV). Laboratory criteria separating AIDS-related complex (ARC) from AIDS include elevated or hyperactive B-cell humoral immune responses, compared to depressed or normal antibody reactivity in AIDS; follicular or mixed hyperplasia in ARC lymph nodes, leading to lymphocyte degeneration and depletion more typical of AIDS; evolving succession of histopathological lesions such as localization of Kaposi's sarcoma, signaling the transition to the full-blown AIDS.	
MESH:D000387	Spontaneous autoamputation of the fourth or fifth toe.	
MESH:D000402	Any hindrance to the passage of air into and out of the lungs.	
MESH:D000405	A syndrome characterized by a silent and inert state without voluntary motor activity despite preserved sensorimotor pathways and vigilance. Bilateral FRONTAL LOBE dysfunction involving the anterior cingulate gyrus and related brain injuries are associated with this condition. This may result in impaired abilities to communicate and initiate motor activities. (From Adams et al., Principles of Neurology, 6th ed, p348; Fortschr Neurol Psychiatr 1995 Feb;63(2):59-67)	
MESH:D000417	General term for a number of inherited defects of amino acid metabolism in which there is a deficiency or absence of pigment in the eyes, skin, or hair.	
MESH:D000419	The presence of albumin in the urine, an indicator of KIDNEY DISEASES.	
MESH:D000425	A mental disorder associated with chronic ethanol abuse (ALCOHOLISM) and nutritional deficiencies characterized by short term memory loss, confabulations, and disturbances of attention. (Adams et al., Principles of Neurology, 6th ed, p1139)	
MESH:D000430	An acute organic mental disorder induced by cessation or reduction in chronic alcohol consumption. Clinical characteristics include CONFUSION; DELUSIONS; vivid HALLUCINATIONS; TREMOR; agitation; insomnia; and signs of autonomic hyperactivity (e.g., elevated blood pressure and heart rate, dilated pupils, and diaphoresis). This condition may occasionally be fatal. It was formerly called delirium tremens. (From Adams et al., Principles of Neurology, 6th ed, p1175)	
MESH:D000435	An acute brain syndrome which results from the excessive ingestion of ETHANOL or ALCOHOLIC BEVERAGES.	
MESH:D000437	A primary, chronic disease with genetic, psychosocial, and environmental factors influencing its development and manifestations. The disease is often progressive and fatal. It is characterized by impaired control over drinking, preoccupation with the drug alcohol, use of alcohol despite adverse consequences, and distortions in thinking, most notably denial. Each of these symptoms may be continuous or periodic. (Morse & Flavin for the Joint Commission of the National Council on Alcoholism and Drug Dependence and the American Society of Addiction Medicine to Study the Definition and Criteria for the Diagnosis of Alcoholism: in JAMA 1992;268:1012-4)	
MESH:D000453	A slow progressive disease of mink caused by the ALEUTIAN MINK DISEASE VIRUS. It is characterized by poor reproduction, weight loss, autoimmunity, hypergammaglobulinemia, increased susceptibility to bacterial infections, and death from renal failure. The disease occurs in all color types, but mink which are homozygous recessive for the Aleutian gene for light coat color are particularly susceptible.	
MESH:D000471	A pathological condition that removes acid or adds base to the body fluids.	
MESH:D000472	A state due to excess loss of carbon dioxide from the body. (Dorland, 27th ed)	
MESH:D000474	An inborn error of amino acid metabolism resulting from a defect in the enzyme HOMOGENTISATE 1,2-DIOXYGENASE, an enzyme involved in the breakdown of PHENYLALANINE and TYROSINE. It is characterized by accumulation of HOMOGENTISIC ACID in the urine, OCHRONOSIS in various tissues, and ARTHRITIS.	
MESH:D000505	Absence of hair from areas where it is normally present.	
MESH:D000506	Loss of scalp and body hair involving microscopically inflammatory patchy areas.	
MESH:D000507	A disease of the pilosebaceous unit, presenting clinically as grouped follicular papules or plaques with associated hair loss. It is caused by mucinous infiltration of tissues, and usually involving the scalp, face, and neck. It may be primary (idiopathic) or secondary to mycosis fungoides or reticulosis.	
MESH:D000532	Multiple symptoms associated with reduced oxygen at high ALTITUDE.	
MESH:D000542	A common interstitial lung disease caused by hypersensitivity reactions of PULMONARY ALVEOLI after inhalation of and sensitization to environmental antigens of microbial, animal, or chemical sources. The disease is characterized by lymphocytic alveolitis and granulomatous pneumonitis.	
MESH:D000544	A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA. Impairment of MEMORY, judgment, attention span, and problem solving skills are followed by severe APRAXIAS and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of SENILE PLAQUES; NEUROFIBRILLARY TANGLES; and NEUROPIL THREADS. (From Adams et al., Principles of Neurology, 6th ed, pp1049-57)	
MESH:D000550	A nonspecific term referring to impaired vision. Major subcategories include stimulus deprivation-induced amblyopia and toxic amblyopia. Stimulus deprivation-induced amblyopia is a developmental disorder of the visual cortex. A discrepancy between visual information received by the visual cortex from each eye results in abnormal cortical development. STRABISMUS and REFRACTIVE ERRORS may cause this condition. Toxic amblyopia is a disorder of the OPTIC NERVE which is associated with ALCOHOLISM, tobacco SMOKING, and other toxins and as an adverse effect of the use of some medications.	
MESH:D000562	Infection with any of various amebae. It is an asymptomatic carrier state in most individuals, but diseases ranging from chronic, mild diarrhea to fulminant dysentery may occur.	
MESH:D000564	An immature epithelial tumor of the JAW originating from the epithelial rests of Malassez or from other epithelial remnants of the ENAMEL from the developmental period. It is a slowly growing tumor, usually benign, but displays a marked propensity for invasive growth.	
MESH:D000567	A clinically and genetically heterogeneous group of hereditary conditions characterized by malformed DENTAL ENAMEL, usually involving DENTAL ENAMEL HYPOPLASIA and/or TOOTH HYPOMINERALIZATION.	
MESH:D000568	Absence of menstruation.	
MESH:D000592	Disorders affecting amino acid metabolism. The majority of these disorders are inherited and present in the neonatal period with metabolic disturbances (e.g., ACIDOSIS) and neurologic manifestations. They are present at birth, although they may not become symptomatic until later in life.	
MESH:D000608	A group of inherited kidney disorders characterized by the abnormally elevated levels of AMINO ACIDS in URINE. Genetic mutations of transport proteins result in the defective reabsorption of free amino acids at the PROXIMAL RENAL TUBULES. Renal aminoaciduria are classified by the specific amino acid or acids involved.	
MESH:D000647	Pathologic partial or complete loss of the ability to recall past experiences (AMNESIA, RETROGRADE) or to form new memories (AMNESIA, ANTEROGRADE). This condition may be of organic or psychologic origin. Organic forms of amnesia are usually associated with dysfunction of the DIENCEPHALON or HIPPOCAMPUS. (From Adams et al., Principles of Neurology, 6th ed, pp426-7)	
MESH:D000648	Loss of the ability to recall information that had been previously encoded in memory prior to a specified or approximate point in time. This process may be organic or psychogenic in origin. Organic forms may be associated with CRANIOCEREBRAL TRAUMA; CEREBROVASCULAR ACCIDENTS; SEIZURES; DEMENTIA; and a wide variety of other conditions that impair cerebral function. (From Adams et al., Principles of Neurology, 6th ed, pp426-9)	
MESH:D000652	A disorder present in the newborn infant in which constriction rings or bands, causing soft tissue depressions, encircle digits, extremities, or limbs and sometimes the neck, thorax, or abdomen. They may be associated with intrauterine amputations.	
MESH:D000673	Loss of a limb or other bodily appendage by accidental injury.	
MESH:D000686	A group of sporadic, familial and/or inherited, degenerative, and infectious disease processes, linked by the common theme of abnormal protein folding and deposition of AMYLOID. As the amyloid deposits enlarge they displace normal tissue structures, causing disruption of function. Various signs and symptoms depend on the location and size of the deposits.	
MESH:D000690	A degenerative disorder affecting upper MOTOR NEURONS in the brain and lower motor neurons in the brain stem and SPINAL CORD. Disease onset is usually after the age of 50 and the process is usually fatal within 3 to 6 years. Clinical manifestations include progressive weakness, atrophy, FASCICULATION, hyperreflexia, DYSARTHRIA, dysphagia, and eventual paralysis of respiratory function. Pathologic features include the replacement of motor neurons with fibrous ASTROCYTES and atrophy of anterior SPINAL NERVE ROOTS and corticospinal tracts. (From Adams et al., Principles of Neurology, 6th ed, pp1089-94)	
MESH:D000694	Tumors or cancer of the anal gland.	
MESH:D000699	A syndrome characterized by indifference to PAIN despite the ability to distinguish noxious from non-noxious stimuli. Absent corneal reflexes and INTELLECTUAL DISABILITY may be associated. Familial forms with autosomal recessive and autosomal dominant patterns of inheritance have been described. (Adams et al., Principles of Neurology, 6th ed, p1343)	
MESH:D000707	An acute hypersensitivity reaction due to exposure to a previously encountered ANTIGEN. The reaction may include rapidly progressing URTICARIA, respiratory distress, vascular collapse, systemic SHOCK, and death.	
MESH:D000708	Loss of structural differentiation and useful function of neoplastic cells.	
MESH:D000711	Infections with bacteria of the family ANAPLASMATACEAE.	
MESH:D000712	A disease usually in cattle caused by parasitization of the red blood cells by bacteria of the genus ANAPLASMA.	
MESH:D000724	Infection of humans or animals with hookworms of the genus ANCYLOSTOMA. Characteristics include anemia, dyspepsia, eosinophilia, and abdominal swelling.	
MESH:D000740	A reduction in the number of circulating ERYTHROCYTES or in the quantity of HEMOGLOBIN.	
MESH:D000741	A form of anemia in which the bone marrow fails to produce adequate numbers of peripheral blood elements.	
MESH:D000742	A familial disorder characterized by ANEMIA with multinuclear ERYTHROBLASTS, karyorrhexis, asynchrony of nuclear and cytoplasmic maturation, and various nuclear abnormalities of bone marrow erythrocyte precursors (ERYTHROID PRECURSOR CELLS). Type II is the most common of the 3 types; it is often referred to as HEMPAS, based on the Hereditary Erythroblast Multinuclearity with Positive Acidified Serum test.	
MESH:D000743	A condition of inadequate circulating red blood cells (ANEMIA) or insufficient HEMOGLOBIN due to premature destruction of red blood cells (ERYTHROCYTES).	
MESH:D000744	Acquired hemolytic anemia due to the presence of AUTOANTIBODIES which agglutinate or lyse the patient's own RED BLOOD CELLS.	
MESH:D000745	Hemolytic anemia due to various intrinsic defects of the erythrocyte.	
MESH:D000746	Any one of a group of congenital hemolytic anemias in which there is no abnormal hemoglobin or spherocytosis and in which there is a defect of glycolysis in the erythrocyte. Common causes include deficiencies in GLUCOSE-6-PHOSPHATE ISOMERASE; PYRUVATE KINASE; and GLUCOSE-6-PHOSPHATE DEHYDROGENASE.	
MESH:D000747	Anemia characterized by a decrease in the ratio of the weight of hemoglobin to the volume of the erythrocyte, i.e., the mean corpuscular hemoglobin concentration is less than normal. The individual cells contain less hemoglobin than they could have under optimal conditions. Hypochromic anemia may be caused by iron deficiency from a low iron intake, diminished iron absorption, or excessive iron loss. It can also be caused by infections or other diseases, therapeutic drugs, lead poisoning, and other conditions. (Stedman, 25th ed; from Miale, Laboratory Medicine: Hematology, 6th ed, p393)	
MESH:D000748	Anemia characterized by larger than normal erythrocytes, increased mean corpuscular volume (MCV) and increased mean corpuscular hemoglobin (MCH).	
MESH:D000749	A disorder characterized by the presence of ANEMIA, abnormally large red blood cells (megalocytes or macrocytes), and MEGALOBLASTS.	
MESH:D000750	Anemia characterized by appearance of immature myeloid and nucleated erythrocytes in the peripheral blood, resulting from infiltration of the bone marrow by foreign or abnormal tissue.	
MESH:D000751	The mildest form of erythroblastosis fetalis in which anemia is the chief manifestation.	
MESH:D000752	A megaloblastic anemia occurring in children but more commonly in later life, characterized by histamine-fast achlorhydria, in which the laboratory and clinical manifestations are based on malabsorption of vitamin B 12 due to a failure of the gastric mucosa to secrete adequate and potent intrinsic factor. (Dorland, 27th ed)	
MESH:D000753	A severe sometimes chronic anemia, usually macrocytic in type, that does not respond to ordinary antianemic therapy.	
MESH:D000754	Chronic refractory anemia with granulocytopenia, and/or thrombocytopenia. Myeloblasts and progranulocytes constitute 5 to 40 percent of the nucleated marrow cells.	
MESH:D000755	A disease characterized by chronic hemolytic anemia, episodic painful crises, and pathologic involvement of many organs. It is the clinical expression of homozygosity for hemoglobin S.	
MESH:D000756	Anemia characterized by the presence of erythroblasts containing excessive deposits of iron in the marrow.	
MESH:D000757	A malformation of the nervous system caused by failure of the anterior neuropore to close. Infants are born with intact spinal cords, cerebellums, and brainstems, but lack formation of neural structures above this level. The skull is only partially formed but the eyes are usually normal. This condition may be associated with folate deficiency. Affected infants are only capable of primitive (brain stem) reflexes and usually do not survive for more than two weeks. (From Menkes, Textbook of Child Neurology, 5th ed, p247)	
MESH:D000782	The chromosomal constitution of cells which deviate from the normal by the addition or subtraction of CHROMOSOMES, chromosome pairs, or chromosome fragments. In a normally diploid cell (DIPLOIDY) the loss of a chromosome pair is termed nullisomy (symbol: 2N-2), the loss of a single chromosome is MONOSOMY (symbol: 2N-1), the addition of a chromosome pair is tetrasomy (symbol: 2N+2), the addition of a single chromosome is TRISOMY (symbol: 2N+1).	
MESH:D000783	Pathological outpouching or sac-like dilatation in the wall of any blood vessel (ARTERIES or VEINS) or the heart (HEART ANEURYSM). It indicates a thin and weakened area in the wall which may later rupture. Aneurysms are classified by location, etiology, or other characteristics.	
MESH:D000784	A tear in the inner layer of the AORTA leading to interstitial HEMORRHAGE, and splitting (dissecting) of the aortic TUNICA MEDIA layer. It typically begins with a tear in the TUNICA INTIMA layer.	
MESH:D000785	Aneurysm due to growth of microorganisms in the arterial wall, or infection arising within preexisting arteriosclerotic aneurysms.	
MESH:D000787	The symptom of paroxysmal pain consequent to MYOCARDIAL ISCHEMIA usually of distinctive character, location and radiation. It is thought to be provoked by a transient stressful situation during which the oxygen requirements of the MYOCARDIUM exceed that supplied by the CORONARY CIRCULATION.	
MESH:D000788	A clinical syndrome characterized by the development of CHEST PAIN at rest with concomitant transient ST segment elevation in the ELECTROCARDIOGRAM, but with preserved exercise capacity.	
MESH:D000789	Precordial pain at rest, which may precede a MYOCARDIAL INFARCTION.	
MESH:D000793	Small breaks in the elastin-filled tissue of the retina.	
MESH:D000794	A vascular, horny neoplasm of the skin characterized by TELANGIECTASIS and secondary epithelial changes including acanthosis and hyperkeratosis.	
MESH:D000795	An X-linked inherited metabolic disease caused by a deficiency of lysosomal ALPHA-GALACTOSIDASE A. It is characterized by intralysosomal accumulation of globotriaosylceramide and other GLYCOSPHINGOLIPIDS in blood vessels throughout the body leading to multi-system complications including renal, cardiac, cerebrovascular, and skin disorders.	
MESH:D000796	Solitary or multiple benign cutaneous nodules comprised of immature and mature vascular structures intermingled with endothelial cells and a varied infiltrate of eosinophils, histiocytes, lymphocytes, and mast cells.	
